"date_key";"year";"month";"day";"month_name";"day_name";"quarter"
"2025-05-02";2025;5;2;"May";"Friday";2
"2025-05-03";2025;5;3;"May";"Saturday";2
"2025-05-04";2025;5;4;"May";"Sunday";2
"2025-05-05";2025;5;5;"May";"Monday";2
"2025-05-06";2025;5;6;"May";"Tuesday";2
"2025-05-07";2025;5;7;"May";"Wednesday";2
"2025-05-08";2025;5;8;"May";"Thursday";2
"2025-05-09";2025;5;9;"May";"Friday";2
"2025-05-10";2025;5;10;"May";"Saturday";2
"2025-05-11";2025;5;11;"May";"Sunday";2
"2025-05-12";2025;5;12;"May";"Monday";2
"2025-05-13";2025;5;13;"May";"Tuesday";2
"2025-05-14";2025;5;14;"May";"Wednesday";2
"2025-05-15";2025;5;15;"May";"Thursday";2
"2025-05-16";2025;5;16;"May";"Friday";2
"2025-05-17";2025;5;17;"May";"Saturday";2
"2025-05-18";2025;5;18;"May";"Sunday";2
"2025-05-19";2025;5;19;"May";"Monday";2
"2025-05-20";2025;5;20;"May";"Tuesday";2
"2025-05-21";2025;5;21;"May";"Wednesday";2
"2025-05-22";2025;5;22;"May";"Thursday";2
"2025-05-23";2025;5;23;"May";"Friday";2
"2025-05-24";2025;5;24;"May";"Saturday";2
"2025-05-25";2025;5;25;"May";"Sunday";2
"2025-05-26";2025;5;26;"May";"Monday";2
"2025-05-27";2025;5;27;"May";"Tuesday";2
"2025-05-28";2025;5;28;"May";"Wednesday";2
"2025-05-29";2025;5;29;"May";"Thursday";2
"2025-05-30";2025;5;30;"May";"Friday";2
"2025-05-31";2025;5;31;"May";"Saturday";2
"2025-06-01";2025;6;1;"June";"Sunday";2
"2025-06-02";2025;6;2;"June";"Monday";2
"2025-06-03";2025;6;3;"June";"Tuesday";2
"2025-06-04";2025;6;4;"June";"Wednesday";2
"2025-06-05";2025;6;5;"June";"Thursday";2
"2025-06-06";2025;6;6;"June";"Friday";2
"2025-06-07";2025;6;7;"June";"Saturday";2
"2025-06-08";2025;6;8;"June";"Sunday";2
"2025-06-09";2025;6;9;"June";"Monday";2
"2025-06-10";2025;6;10;"June";"Tuesday";2
"2025-06-11";2025;6;11;"June";"Wednesday";2
"2025-06-12";2025;6;12;"June";"Thursday";2
"2025-06-13";2025;6;13;"June";"Friday";2
"2025-06-14";2025;6;14;"June";"Saturday";2
"2025-06-15";2025;6;15;"June";"Sunday";2
"2025-06-16";2025;6;16;"June";"Monday";2
"2025-06-17";2025;6;17;"June";"Tuesday";2
"2025-06-18";2025;6;18;"June";"Wednesday";2
"2025-06-19";2025;6;19;"June";"Thursday";2
"2025-06-20";2025;6;20;"June";"Friday";2
"2025-06-21";2025;6;21;"June";"Saturday";2
"2025-06-22";2025;6;22;"June";"Sunday";2
"2025-06-23";2025;6;23;"June";"Monday";2
"2025-06-24";2025;6;24;"June";"Tuesday";2
"2025-06-25";2025;6;25;"June";"Wednesday";2
"2025-06-26";2025;6;26;"June";"Thursday";2
"2025-06-27";2025;6;27;"June";"Friday";2
"2025-06-28";2025;6;28;"June";"Saturday";2
"2025-06-29";2025;6;29;"June";"Sunday";2
"2025-06-30";2025;6;30;"June";"Monday";2
"2025-07-01";2025;7;1;"July";"Tuesday";3
"2025-07-02";2025;7;2;"July";"Wednesday";3
"2025-07-03";2025;7;3;"July";"Thursday";3
"2025-07-04";2025;7;4;"July";"Friday";3
"2025-07-05";2025;7;5;"July";"Saturday";3
"2025-07-06";2025;7;6;"July";"Sunday";3
"2025-07-07";2025;7;7;"July";"Monday";3
"2025-07-08";2025;7;8;"July";"Tuesday";3
"2025-07-09";2025;7;9;"July";"Wednesday";3
"2025-07-10";2025;7;10;"July";"Thursday";3
"2025-07-11";2025;7;11;"July";"Friday";3
"2025-07-12";2025;7;12;"July";"Saturday";3
"2025-07-13";2025;7;13;"July";"Sunday";3
"2025-07-14";2025;7;14;"July";"Monday";3
"2025-07-15";2025;7;15;"July";"Tuesday";3
"2025-07-16";2025;7;16;"July";"Wednesday";3
"2025-07-17";2025;7;17;"July";"Thursday";3
"2025-07-18";2025;7;18;"July";"Friday";3
"2025-07-19";2025;7;19;"July";"Saturday";3
"2025-07-20";2025;7;20;"July";"Sunday";3
"2025-07-21";2025;7;21;"July";"Monday";3
"2025-07-22";2025;7;22;"July";"Tuesday";3
"2025-07-23";2025;7;23;"July";"Wednesday";3
"2025-07-24";2025;7;24;"July";"Thursday";3
"2025-07-25";2025;7;25;"July";"Friday";3
"2025-07-26";2025;7;26;"July";"Saturday";3
"2025-07-27";2025;7;27;"July";"Sunday";3
"2025-07-28";2025;7;28;"July";"Monday";3
"2025-07-29";2025;7;29;"July";"Tuesday";3
"2025-07-30";2025;7;30;"July";"Wednesday";3
"2025-07-31";2025;7;31;"July";"Thursday";3
"2025-08-01";2025;8;1;"August";"Friday";3
"2025-08-02";2025;8;2;"August";"Saturday";3
"2025-08-03";2025;8;3;"August";"Sunday";3
"2025-08-04";2025;8;4;"August";"Monday";3
"2025-08-05";2025;8;5;"August";"Tuesday";3
"2025-08-06";2025;8;6;"August";"Wednesday";3
"2025-08-07";2025;8;7;"August";"Thursday";3
"2025-08-08";2025;8;8;"August";"Friday";3
"2025-08-09";2025;8;9;"August";"Saturday";3
"2025-08-10";2025;8;10;"August";"Sunday";3
"2025-08-11";2025;8;11;"August";"Monday";3
"2025-08-12";2025;8;12;"August";"Tuesday";3
"2025-08-13";2025;8;13;"August";"Wednesday";3
"2025-08-14";2025;8;14;"August";"Thursday";3
"2025-08-15";2025;8;15;"August";"Friday";3
"2025-08-16";2025;8;16;"August";"Saturday";3
"2025-08-17";2025;8;17;"August";"Sunday";3
"2025-08-18";2025;8;18;"August";"Monday";3
"2025-08-19";2025;8;19;"August";"Tuesday";3
"2025-08-20";2025;8;20;"August";"Wednesday";3
"2025-08-21";2025;8;21;"August";"Thursday";3
"2025-08-22";2025;8;22;"August";"Friday";3
"2025-08-23";2025;8;23;"August";"Saturday";3
"2025-08-24";2025;8;24;"August";"Sunday";3
"2025-08-25";2025;8;25;"August";"Monday";3
"2025-08-26";2025;8;26;"August";"Tuesday";3
"2025-08-27";2025;8;27;"August";"Wednesday";3
"2025-08-28";2025;8;28;"August";"Thursday";3
"2025-08-29";2025;8;29;"August";"Friday";3
"2025-08-30";2025;8;30;"August";"Saturday";3
"2025-08-31";2025;8;31;"August";"Sunday";3
"2025-09-01";2025;9;1;"September";"Monday";3
"2025-09-02";2025;9;2;"September";"Tuesday";3
"2025-09-03";2025;9;3;"September";"Wednesday";3
"2025-09-04";2025;9;4;"September";"Thursday";3
"2025-09-05";2025;9;5;"September";"Friday";3
"2025-09-06";2025;9;6;"September";"Saturday";3
"2025-09-07";2025;9;7;"September";"Sunday";3
"2025-09-08";2025;9;8;"September";"Monday";3
"2025-09-09";2025;9;9;"September";"Tuesday";3
"2025-09-10";2025;9;10;"September";"Wednesday";3
"2025-09-11";2025;9;11;"September";"Thursday";3
"2025-09-12";2025;9;12;"September";"Friday";3
"2025-09-13";2025;9;13;"September";"Saturday";3
"2025-09-14";2025;9;14;"September";"Sunday";3
"2025-09-15";2025;9;15;"September";"Monday";3
"2025-09-16";2025;9;16;"September";"Tuesday";3
"2025-09-17";2025;9;17;"September";"Wednesday";3
"2025-09-18";2025;9;18;"September";"Thursday";3
"2025-09-19";2025;9;19;"September";"Friday";3
"2025-09-20";2025;9;20;"September";"Saturday";3
"2025-09-21";2025;9;21;"September";"Sunday";3
"2025-09-22";2025;9;22;"September";"Monday";3
"2025-09-23";2025;9;23;"September";"Tuesday";3
"2025-09-24";2025;9;24;"September";"Wednesday";3
"2025-09-25";2025;9;25;"September";"Thursday";3
"2025-09-26";2025;9;26;"September";"Friday";3
"2025-09-27";2025;9;27;"September";"Saturday";3
"2025-09-28";2025;9;28;"September";"Sunday";3
"2025-09-29";2025;9;29;"September";"Monday";3
"2025-09-30";2025;9;30;"September";"Tuesday";3
"2025-10-01";2025;10;1;"October";"Wednesday";4
"2025-10-02";2025;10;2;"October";"Thursday";4
"2025-10-03";2025;10;3;"October";"Friday";4
"2025-10-04";2025;10;4;"October";"Saturday";4
"2025-10-05";2025;10;5;"October";"Sunday";4
"2025-10-06";2025;10;6;"October";"Monday";4
"2025-10-07";2025;10;7;"October";"Tuesday";4
"2025-10-08";2025;10;8;"October";"Wednesday";4
"2025-10-09";2025;10;9;"October";"Thursday";4
"2025-10-10";2025;10;10;"October";"Friday";4
"2025-10-11";2025;10;11;"October";"Saturday";4
"2025-10-12";2025;10;12;"October";"Sunday";4
"2025-10-13";2025;10;13;"October";"Monday";4
"2025-10-14";2025;10;14;"October";"Tuesday";4
"2025-10-15";2025;10;15;"October";"Wednesday";4
"2025-10-16";2025;10;16;"October";"Thursday";4
"2025-10-17";2025;10;17;"October";"Friday";4
"2025-10-18";2025;10;18;"October";"Saturday";4
"2025-10-19";2025;10;19;"October";"Sunday";4
"2025-10-20";2025;10;20;"October";"Monday";4
"2025-10-21";2025;10;21;"October";"Tuesday";4
"2025-10-22";2025;10;22;"October";"Wednesday";4
"2025-10-23";2025;10;23;"October";"Thursday";4
"2025-10-24";2025;10;24;"October";"Friday";4
"2025-10-25";2025;10;25;"October";"Saturday";4
"2025-10-26";2025;10;26;"October";"Sunday";4
"2025-10-27";2025;10;27;"October";"Monday";4
"2025-10-28";2025;10;28;"October";"Tuesday";4
"2025-10-29";2025;10;29;"October";"Wednesday";4
"2025-10-30";2025;10;30;"October";"Thursday";4
"2025-10-31";2025;10;31;"October";"Friday";4
"2025-11-01";2025;11;1;"November";"Saturday";4
"2025-11-02";2025;11;2;"November";"Sunday";4
"2025-11-03";2025;11;3;"November";"Monday";4
"2025-11-04";2025;11;4;"November";"Tuesday";4
"2025-11-05";2025;11;5;"November";"Wednesday";4
"2025-11-06";2025;11;6;"November";"Thursday";4
"2025-11-07";2025;11;7;"November";"Friday";4
"2025-11-08";2025;11;8;"November";"Saturday";4
"2025-11-09";2025;11;9;"November";"Sunday";4
"2025-11-10";2025;11;10;"November";"Monday";4
"2025-11-11";2025;11;11;"November";"Tuesday";4
"2025-11-12";2025;11;12;"November";"Wednesday";4
"2025-11-13";2025;11;13;"November";"Thursday";4
"2025-11-14";2025;11;14;"November";"Friday";4
"2025-11-15";2025;11;15;"November";"Saturday";4
"2025-11-16";2025;11;16;"November";"Sunday";4
"2025-11-17";2025;11;17;"November";"Monday";4
"2025-11-18";2025;11;18;"November";"Tuesday";4
"2025-11-19";2025;11;19;"November";"Wednesday";4
"2025-11-20";2025;11;20;"November";"Thursday";4
"2025-11-21";2025;11;21;"November";"Friday";4
"2025-11-22";2025;11;22;"November";"Saturday";4
"2025-11-23";2025;11;23;"November";"Sunday";4
"2025-11-24";2025;11;24;"November";"Monday";4
"2025-11-25";2025;11;25;"November";"Tuesday";4
"2025-11-26";2025;11;26;"November";"Wednesday";4
"2025-11-27";2025;11;27;"November";"Thursday";4
"2025-11-28";2025;11;28;"November";"Friday";4
"2025-11-29";2025;11;29;"November";"Saturday";4
"2025-11-30";2025;11;30;"November";"Sunday";4
"2025-12-01";2025;12;1;"December";"Monday";4
"2025-12-02";2025;12;2;"December";"Tuesday";4
"2025-12-03";2025;12;3;"December";"Wednesday";4
"2025-12-04";2025;12;4;"December";"Thursday";4
"2025-12-05";2025;12;5;"December";"Friday";4
"2025-12-06";2025;12;6;"December";"Saturday";4
"2025-12-07";2025;12;7;"December";"Sunday";4
"2025-12-08";2025;12;8;"December";"Monday";4
"2025-12-09";2025;12;9;"December";"Tuesday";4
"2025-12-10";2025;12;10;"December";"Wednesday";4
"2025-12-11";2025;12;11;"December";"Thursday";4
"2025-12-12";2025;12;12;"December";"Friday";4
"2025-12-13";2025;12;13;"December";"Saturday";4
"2025-12-14";2025;12;14;"December";"Sunday";4
"2025-12-15";2025;12;15;"December";"Monday";4
"2025-12-16";2025;12;16;"December";"Tuesday";4
"2025-12-17";2025;12;17;"December";"Wednesday";4
"2025-12-18";2025;12;18;"December";"Thursday";4
"2025-12-19";2025;12;19;"December";"Friday";4
"2025-12-20";2025;12;20;"December";"Saturday";4
"2025-12-21";2025;12;21;"December";"Sunday";4
"2025-12-22";2025;12;22;"December";"Monday";4
"2025-12-23";2025;12;23;"December";"Tuesday";4
"2025-12-24";2025;12;24;"December";"Wednesday";4
"2025-12-25";2025;12;25;"December";"Thursday";4
"2025-12-26";2025;12;26;"December";"Friday";4
"2025-12-27";2025;12;27;"December";"Saturday";4
"2025-12-28";2025;12;28;"December";"Sunday";4
"2025-12-29";2025;12;29;"December";"Monday";4
"2025-12-30";2025;12;30;"December";"Tuesday";4
"2025-12-31";2025;12;31;"December";"Wednesday";4
